SID,Team,Events,Event Names,Sub Events,Sub Event Names
209,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 10]","['Ball out of the field', 'Throw in', 'Air duel']"
210,1609,"[1, 1]","['Duel', 'Duel']","[13, 11]","['Ground loose ball duel', 'Ground attacking duel']"
211,1631,"[8, 1]","['Pass', 'Duel']","[85, 12]","['Simple pass', 'Ground defending duel']"
212,1631,"[8, 1]","['Pass', 'Duel']","[86, 13]","['Smart pass', 'Ground loose ball duel']"
213,1609,"[1, 8, 8, 8, 8, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[13, 85, 85, 85, 85, 85, 85, 85]","['Ground loose ball duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
214,1609,"[1, 8, 8]","['Duel', 'Pass', 'Pass']","[11, 85, 85]","['Ground attacking duel', 'Simple pass', 'Simple pass']"
215,1631,"[8, 7]","['Pass', 'Others on the ball']","[83, 72]","['High pass', 'Touch']"
216,1631,"[5, 3, 1, 1]","['Interruption', 'Free Kick', 'Duel', 'Duel']","[50, 36, 10, 10]","['Ball out of the field', 'Throw in', 'Air duel', 'Air duel']"
217,1609,"[1, 1, 7]","['Duel', 'Duel', 'Others on the ball']","[10, 10, 71]","['Air duel', 'Air duel', 'Clearance']"
218,1631,"[5, 3, 8]","['Interruption', 'Free Kick', 'Pass']","[50, 36, 85]","['Ball out of the field', 'Throw in', 'Simple pass']"
219,1609,"[7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Others on the ball', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[72, 85, 85, 85, 85, 85, 85, 85, 85, 83, 85]","['Touch', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass', 'Simple pass']"
220,1609,"[1, 1]","['Duel', 'Duel']","[10, 12]","['Air duel', 'Ground defending duel']"
221,1631,"[1, 5, 3, 8, 1]","['Duel', 'Interruption', 'Free Kick', 'Pass', 'Duel']","[11, 50, 36, 82, 13]","['Ground attacking duel', 'Ball out of the field', 'Throw in', 'Head pass', 'Ground loose ball duel']"
222,1609,"[1, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass']","[13, 85, 85, 85]","['Ground loose ball duel', 'Simple pass', 'Simple pass', 'Simple pass']"
223,1631,"[8, 8]","['Pass', 'Pass']","[85, 80]","['Simple pass', 'Cross']"
224,1609,"[7, 7]","['Others on the ball', 'Others on the ball']","[72, 72]","['Touch', 'Touch']"
225,1609,"[1, 1]","['Duel', 'Duel']","[12, 12]","['Ground defending duel', 'Ground defending duel']"
226,1631,"[1, 10, 5, 3, 1, 1]","['Duel', 'Shot', 'Interruption', 'Free Kick', 'Duel', 'Duel']","[11, 100, 50, 30, 10, 10]","['Ground attacking duel', 'Shot', 'Ball out of the field', 'Corner', 'Air duel', 'Air duel']"
227,1609,"[1, 1]","['Duel', 'Duel']","[10, 10]","['Air duel', 'Air duel']"
228,1631,"[10, 200]","['Shot', 'Goal']","[100, 200]","['Shot', 'Goal']"
